Stock Code,Warehouse,CREATEDATE,BATCH,Qty
8100910004                         ,62,11/6/2026,199900015011,240
8100910004                         ,62,11/6/2026,199900015010,240
8100920004                         ,62,11/6/2026,199900015009,240
8101010104                         ,62,12/6/2026,199900015028,250
8101010104                         ,62,12/6/2026,199900015029,250
8101010104                         ,62,12/6/2026,199900015030,250
8101010104                         ,62,31/5/2026,199900014346,250
8101010104                         ,62,12/6/2026,199900015024,250
8101010104                         ,62,12/6/2026,199900015027,250
8101010104                         ,62,12/6/2026,199900015025,250
8101010104                         ,62,12/6/2026,199900015026,250
8101020104                         ,62,11/6/2026,199900015015,250
8101020104                         ,62,11/6/2026,199900015019,250
8101020104                         ,62,11/6/2026,199900015016,250
8101020104                         ,62,11/6/2026,199900015017,250
8101020104                         ,62,31/5/2026,199900014347,250
8101020104                         ,62,11/6/2026,199900015013,250
8101020104                         ,62,11/6/2026,199900015014,250
8101020104                         ,62,11/6/2026,199900015012,250
8101020104                         ,62,11/6/2026,199900015018,250
8157310204                         ,01,22/12/2025,199900004454,250
8157320204                         ,01,22/12/2025,199900004455,250
8157320204                         ,98,21/4/2026,199900012249,400
8157320204                         ,98,22/12/2025,199900004456,250
8163210604                         ,01,15/1/2026,199900006069,50
8163210604                         ,01,2/2/2026,199900007861,40
8163210604                         ,01,15/1/2026,199900006068,90
8163210604                         ,60,19/5/2026,199900013397,90
8163210604                         ,60,19/5/2026,199900013408,90
8163210604                         ,60,19/5/2026,199900013398,90
8163220604                         ,01,31/12/2025,199900005352,90
8163220604                         ,01,15/1/2026,199900006067,40
8163220604                         ,01,2/2/2026,199900007862,50
8163220604                         ,60,19/5/2026,199900013404,90
8163220604                         ,60,19/5/2026,199900013405,90
8163220604                         ,60,19/5/2026,199900013411,90
8167110304                         ,50,19/5/2026,199900013553,30
8167110304                         ,50,15/1/2026,199900006081,40
8167120304                         ,62,22/5/2026,199900013574,24
8203210504                         ,60,20/5/2026,199900013615,85
8203210504                         ,60,18/3/2026,199900010026,85
8203210504                         ,60,20/5/2026,199900013613,85
8203210504                         ,60,18/3/2026,199900010028,85
8203210504                         ,60,20/5/2026,199900013576,25
8203210504                         ,60,16/5/2026,199900013254,60
8203210504                         ,60,18/3/2026,199900010024,85
8203210504                         ,60,18/3/2026,199900010025,85
8203210504                         ,60,20/5/2026,199900013616,85
8203210504                         ,60,18/3/2026,199900010022,85
8203210504                         ,60,17/3/2026,199900010019,85
8203210504                         ,62,20/5/2026,199900013614,85
8203220504                         ,60,18/3/2026,199900010032,85
8203220504                         ,60,18/3/2026,199900010030,85
8203220504                         ,60,18/3/2026,199900010036,85
8203220504                         ,60,18/3/2026,199900010034,85
8203220504                         ,60,20/5/2026,199900013619,85
8203220504                         ,60,18/3/2026,199900010033,85
8203220504                         ,60,20/5/2026,199900013620,85
8203220504                         ,60,17/3/2026,199900010037,85
8203220504                         ,62,16/5/2026,199900013253,85
8203220504                         ,62,20/5/2026,199900013617,28
8203220504                         ,62,23/4/2026,199900012467,57
8203220504                         ,62,20/5/2026,199900013618,85
8207210404                         ,98,8/2/2026,199900008432,60
8334310104                         ,60,23/5/2026,199900013781,40
8334310104                         ,60,25/5/2026,199900013811,40
8334310104                         ,60,25/5/2026,199900013812,40
8334310104                         ,60,25/5/2026,199900013813,40
8334310104                         ,60,23/5/2026,199900013782,40
8334310104                         ,60,23/5/2026,199900013780,40
8334310104                         ,60,23/5/2026,199900013790,40
8334310104                         ,60,23/5/2026,199900013791,40
8334310104                         ,62,23/5/2026,199900013784,40
8334310104                         ,62,23/5/2026,199900013788,40
8334310104                         ,62,23/5/2026,199900013786,40
8334310104                         ,62,25/5/2026,199900013816,40
8334310104                         ,62,23/5/2026,199900013789,40
8334310104                         ,62,25/5/2026,199900013815,40
8334310104                         ,62,23/5/2026,199900013785,40
8334310104                         ,62,23/5/2026,199900013787,40
8334310104                         ,62,25/5/2026,199900013814,40
8334320104                         ,60,23/5/2026,199900013793,40
8334320104                         ,60,23/5/2026,199900013794,40
8334320104                         ,60,25/5/2026,199900013832,40
8334320104                         ,60,23/5/2026,199900013792,40
8334320104                         ,60,23/5/2026,199900013803,40
8334320104                         ,60,25/5/2026,199900013834,40
8334320104                         ,60,25/5/2026,199900013833,40
8334320104                         ,62,25/5/2026,199900013831,40
8334320104                         ,62,23/5/2026,199900013800,40
8334320104                         ,62,23/5/2026,199900013796,40
8334320104                         ,62,23/5/2026,199900013801,40
8334320104                         ,62,23/5/2026,199900013798,40
8334320104                         ,62,25/5/2026,199900013830,40
8334320104                         ,62,23/5/2026,199900013799,40
8334320104                         ,62,23/5/2026,199900013797,40
8334320104                         ,62,25/5/2026,199900013829,40
8335310104                         ,60,25/5/2026,199900013851,40
8335310104                         ,60,25/5/2026,199900013854,40
8335320104                         ,60,25/5/2026,199900013855,40
8335320104                         ,60,25/5/2026,199900013858,40
8356910204                         ,60,15/5/2026,199900013146,36
8356910204                         ,60,15/5/2026,199900013169,36
8356910204                         ,60,15/5/2026,199900013179,36
8356910204                         ,60,15/5/2026,199900013172,36
8356910204                         ,60,15/5/2026,199900013180,36
8356920204                         ,60,15/5/2026,199900013193,36
8356920204                         ,60,15/5/2026,199900013191,36
8356920204                         ,60,15/5/2026,199900013203,36
8356920204                         ,60,15/5/2026,199900013192,36
8356920204                         ,60,15/5/2026,199900013200,36
8360110104                         ,62,28/5/2026,199900014060,14
8360120104                         ,62,28/5/2026,199900014052,14
8410810304                         ,01,12/5/2026,199900013010,6
8410810304                         ,60,21/5/2026,199900013644,56
8410810304                         ,60,21/5/2026,199900013649,56
8410810304                         ,60,21/5/2026,199900013640,56
8410810304                         ,60,21/5/2026,199900013645,56
8410810304                         ,60,21/5/2026,199900013639,56
8410810304                         ,60,21/5/2026,199900013647,56
8410810304                         ,60,21/5/2026,199900013635,50
8410810304                         ,60,21/5/2026,199900013643,56
8410810304                         ,62,27/5/2026,199900013982,56
8410810304                         ,62,27/5/2026,199900013983,44
8410820304                         ,01,12/5/2026,199900013009,56
8410820304                         ,01,12/5/2026,199900013008,56
8410820304                         ,60,21/5/2026,199900013659,56
8410820304                         ,60,21/5/2026,199900013658,56
8410820304                         ,60,21/5/2026,199900013653,56
8410820304                         ,60,21/5/2026,199900013655,56
8410820304                         ,60,21/5/2026,199900013654,56
8410820304                         ,60,21/5/2026,199900013651,56
8410820304                         ,62,27/5/2026,199900013985,56
8410820304                         ,62,27/5/2026,199900013984,56
8411010404                         ,60,22/5/2026,199900013717,56
8411010404                         ,60,22/5/2026,199900013718,56
8411010404                         ,60,23/5/2026,199900013733,56
8411010404                         ,60,22/5/2026,199900013722,56
8411010404                         ,60,23/5/2026,199900013739,56
8411010404                         ,60,22/5/2026,199900013721,56
8411010404                         ,60,22/5/2026,199900013720,56
8411010404                         ,60,22/5/2026,199900013723,56
8411010404                         ,60,22/5/2026,199900013719,56
8411010404                         ,62,23/5/2026,199900013735,56
8411010404                         ,62,23/5/2026,199900013736,56
8411010404                         ,62,23/5/2026,199900013738,56
8411010404                         ,62,22/5/2026,199900013715,56
8411010404                         ,62,23/5/2026,199900013734,56
8411010404                         ,62,23/5/2026,199900013737,56
8411020404                         ,60,23/5/2026,199900013740,56
8411020404                         ,60,22/5/2026,199900013727,56
8411020404                         ,60,23/5/2026,199900013746,56
8411020404                         ,60,22/5/2026,199900013729,56
8411020404                         ,60,22/5/2026,199900013728,56
8411020404                         ,60,22/5/2026,199900013725,56
8411020404                         ,60,22/5/2026,199900013724,56
8411020404                         ,60,22/5/2026,199900013730,56
8411020404                         ,60,22/5/2026,199900013726,56
8411020404                         ,62,23/5/2026,199900013744,56
8411020404                         ,62,23/5/2026,199900013743,56
8411020404                         ,62,23/5/2026,199900013741,56
8411020404                         ,62,23/5/2026,199900013745,56
8411020404                         ,62,22/5/2026,199900013732,56
8411020404                         ,62,23/5/2026,199900013742,56
8415110004                         ,01,3/2/2026,199900007873,85
8415110004                         ,01,3/2/2026,199900007874,85
8415110004                         ,01,3/2/2026,199900007871,85
8415110004                         ,50,7/2/2026,199900008208,85
8415110004                         ,50,8/2/2026,199900008465,66
8415110004                         ,60,20/5/2026,199900013625,19
8415110004                         ,60,21/4/2026,199900012269,85
8415110004                         ,60,21/4/2026,199900012270,85
8415110004                         ,60,21/4/2026,199900012268,85
8415110004                         ,60,21/4/2026,199900012223,85
8415110004                         ,60,20/5/2026,199900013629,85
8415120004                         ,01,3/2/2026,199900007885,85
8415120004                         ,01,3/2/2026,199900007883,85
8415120004                         ,01,3/2/2026,199900007882,85
8415120004                         ,50,7/2/2026,199900008213,85
8415120004                         ,60,21/4/2026,199900012224,40
8415120004                         ,60,21/4/2026,199900012273,85
8415120004                         ,60,20/5/2026,199900013628,85
8415120004                         ,60,21/4/2026,199900012275,85
8415120004                         ,60,20/5/2026,199900013627,85
8415120004                         ,60,20/5/2026,199900013626,45
8415120004                         ,60,21/4/2026,199900012274,85
8415210204                         ,62,10/6/2026,199900014922,75
8415210204                         ,62,10/6/2026,199900014916,75
8415210204                         ,62,10/6/2026,199900014924,75
8415210204                         ,62,10/6/2026,199900014921,75
8415210204                         ,62,10/6/2026,199900014926,75
8415210204                         ,62,10/6/2026,199900014915,75
8415210204                         ,62,10/6/2026,199900014919,75
8415210204                         ,62,10/6/2026,199900014917,75
8415210204                         ,62,10/6/2026,199900014918,75
8415210204                         ,62,10/6/2026,199900014920,75
8415210204                         ,62,10/6/2026,199900014925,75
8415210204                         ,62,10/6/2026,199900014923,75
8415210204                         ,98,15/1/2026,199900006087,48
8415210204                         ,98,15/1/2026,199900006072,15
8415220204                         ,62,10/6/2026,199900014904,75
8415220204                         ,62,10/6/2026,199900014913,75
8415220204                         ,62,10/6/2026,199900014908,75
8415220204                         ,62,10/6/2026,199900014909,75
8415220204                         ,62,10/6/2026,199900014907,75
8415220204                         ,62,10/6/2026,199900014906,75
8415220204                         ,62,10/6/2026,199900014910,75
8415220204                         ,62,10/6/2026,199900014914,75
8415220204                         ,62,10/6/2026,199900014905,75
8415220204                         ,62,10/6/2026,199900014903,75
8415220204                         ,62,10/6/2026,199900014912,75
8415220204                         ,62,10/6/2026,199900014911,75
8415220204                         ,98,15/1/2026,199900006088,67
8418110204                         ,62,9/6/2026,199900014826,65
8418110204                         ,62,9/6/2026,199900014813,65
8418110204                         ,62,9/6/2026,199900014820,65
8418110204                         ,62,9/6/2026,199900014817,65
8418110204                         ,62,9/6/2026,199900014818,65
8418110204                         ,62,9/6/2026,199900014824,65
8418110204                         ,62,9/6/2026,199900014816,65
8418110204                         ,62,9/6/2026,199900014814,65
8418110204                         ,62,9/6/2026,199900014827,65
8418110204                         ,62,9/6/2026,199900014822,65
8418110204                         ,62,9/6/2026,199900014825,65
8418110204                         ,62,9/6/2026,199900014815,65
8418110204                         ,62,9/6/2026,199900014819,65
8418110204                         ,62,9/6/2026,199900014823,65
8418110204                         ,62,9/6/2026,199900014821,65
8418120204                         ,62,9/6/2026,199900014835,65
8418120204                         ,62,9/6/2026,199900014839,65
8418120204                         ,62,9/6/2026,199900014836,65
8418120204                         ,62,9/6/2026,199900014832,65
8418120204                         ,62,9/6/2026,199900014841,65
8418120204                         ,62,9/6/2026,199900014830,65
8418120204                         ,62,9/6/2026,199900014838,65
8418120204                         ,62,9/6/2026,199900014837,65
8418120204                         ,62,9/6/2026,199900014831,65
8418120204                         ,62,9/6/2026,199900014842,65
8418120204                         ,62,9/6/2026,199900014840,65
8418120204                         ,62,9/6/2026,199900014843,65
8418120204                         ,62,9/6/2026,199900014829,65
8418120204                         ,62,9/6/2026,199900014833,65
8418120204                         ,62,9/6/2026,199900014834,65
8418310304                         ,60,17/3/2026,199900009708,65
8418310304                         ,60,17/3/2026,199900009715,65
8418310304                         ,60,17/3/2026,199900009713,65
8418310304                         ,60,17/3/2026,199900009712,65
8418310304                         ,60,17/3/2026,199900009711,65
8418310304                         ,60,17/3/2026,199900009710,65
8418310304                         ,60,17/3/2026,199900009706,65
8418310304                         ,60,17/3/2026,199900009707,65
8418310304                         ,60,17/3/2026,199900009720,65
8418310304                         ,60,17/3/2026,199900009719,65
8418310304                         ,60,17/3/2026,199900009716,65
8418310304                         ,62,23/4/2026,199900012474,48
8418310304                         ,62,16/5/2026,199900013257,14
8418320304                         ,60,2/5/2026,199900012727,65
8418320304                         ,60,2/5/2026,199900012725,11
8418320304                         ,60,17/3/2026,199900009730,65
8418320304                         ,60,17/3/2026,199900009727,65
8418320304                         ,60,17/3/2026,199900009729,65
8418320304                         ,60,17/3/2026,199900009735,65
8418320304                         ,60,17/3/2026,199900009731,65
8418320304                         ,60,23/4/2026,199900012475,54
8418320304                         ,60,17/3/2026,199900009722,65
8418320304                         ,60,17/3/2026,199900009732,65
8418320304                         ,60,17/3/2026,199900009721,65
8418320304                         ,60,17/3/2026,199900009734,65
8418320304                         ,62,16/5/2026,199900013258,52
8430410104                         ,01,31/12/2025,199900005263,52
8430410104                         ,01,31/12/2025,199900005262,52
8430410104                         ,01,31/12/2025,199900005267,52
8430410104                         ,01,31/12/2025,199900005261,52
8430410104                         ,01,31/12/2025,199900005266,52
8430410104                         ,01,31/12/2025,199900005265,52
8430410104                         ,01,31/12/2025,199900005264,52
8430410104                         ,50,16/5/2026,199900013243,10
8430420104                         ,01,31/12/2025,199900005272,52
8430420104                         ,01,31/12/2025,199900005273,52
8430420104                         ,01,31/12/2025,199900005268,52
8430420104                         ,01,31/12/2025,199900005271,52
8430420104                         ,01,31/12/2025,199900005270,52
8430420104                         ,01,31/12/2025,199900005269,52
8430420104                         ,01,31/12/2025,199900005274,52
8430420104                         ,50,16/5/2026,199900013244,21
8434810104                         ,62,23/4/2026,199900012476,37
8434810104                         ,98,27/12/2025,199900005131,40
8434810104                         ,98,3/6/2026,199900014521,12
8434810104                         ,98,27/12/2025,199900005134,52
8434810104                         ,98,27/12/2025,199900005133,52
8434820104                         ,62,23/4/2026,199900012478,23
8434820104                         ,62,21/4/2026,199900012248,3
8434820104                         ,62,3/6/2026,199900014522,9
8434820104                         ,62,23/4/2026,199900012477,52
8434820104                         ,98,30/12/2025,199900005150,52
8502510204                         ,60,26/5/2026,199900013902,54
8502510204                         ,60,26/5/2026,199900013900,54
8502510204                         ,60,26/5/2026,199900013904,54
8502510204                         ,62,26/5/2026,199900013901,54
8502520204                         ,60,26/5/2026,199900013921,54
8502520204                         ,60,26/5/2026,199900013912,54
8502520204                         ,60,26/5/2026,199900013910,54
8502520204                         ,62,26/5/2026,199900013913,54
8502520204                         ,62,26/5/2026,199900013918,54
8502520204                         ,62,26/5/2026,199900013930,39
8510810304                         ,50,12/5/2026,199900013025,23
8510810304                         ,50,12/5/2026,199900013024,56
8510810304                         ,62,1/6/2026,199900014448,56
8510810304                         ,62,2/6/2026,199900014462,56
8510810304                         ,62,2/6/2026,199900014463,56
8510810304                         ,62,4/6/2026,199900014524,56
8510810304                         ,62,4/6/2026,199900014523,56
8510810304                         ,62,1/6/2026,199900014449,56
8510810304                         ,62,1/6/2026,199900014444,56
8510810304                         ,62,1/6/2026,199900014450,56
8510810304                         ,62,4/6/2026,199900014526,56
8510810304                         ,62,4/6/2026,199900014527,56
8510810304                         ,62,1/6/2026,199900014447,56
8510810304                         ,62,1/6/2026,199900014443,56
8510810304                         ,62,4/6/2026,199900014528,56
8510810304                         ,62,1/6/2026,199900014446,56
8510810304                         ,62,4/6/2026,199900014525,56
8510810304                         ,62,1/6/2026,199900014451,56
8510820304                         ,50,12/5/2026,199900013027,56
8510820304                         ,50,12/5/2026,199900013026,30
8510820304                         ,62,1/6/2026,199900014452,56
8510820304                         ,62,1/6/2026,199900014456,56
8510820304                         ,62,4/6/2026,199900014532,56
8510820304                         ,62,2/6/2026,199900014465,56
8510820304                         ,62,4/6/2026,199900014529,56
8510820304                         ,62,4/6/2026,199900014534,56
8510820304                         ,62,1/6/2026,199900014453,56
8510820304                         ,62,2/6/2026,199900014464,56
8510820304                         ,62,1/6/2026,199900014457,56
8510820304                         ,62,1/6/2026,199900014460,56
8510820304                         ,62,4/6/2026,199900014531,56
8510820304                         ,62,4/6/2026,199900014535,56
8510820304                         ,62,1/6/2026,199900014459,56
8510820304                         ,62,4/6/2026,199900014533,56
8510820304                         ,62,1/6/2026,199900014458,56
8510820304                         ,62,1/6/2026,199900014454,56
8510820304                         ,62,1/6/2026,199900014455,56
8510820304                         ,62,4/6/2026,199900014530,56
8512520104                         ,50,11/6/2026,199900014978,9
8515110104                         ,01,24/3/2026,199900010654,75
8515110104                         ,01,24/3/2026,199900010656,75
8515110104                         ,01,24/3/2026,199900010661,75
8515110104                         ,01,24/3/2026,199900010655,75
8515110104                         ,01,24/3/2026,199900010657,75
8515110104                         ,01,24/3/2026,199900010659,75
8515110104                         ,01,24/3/2026,199900010660,75
8515110104                         ,01,24/3/2026,199900010662,75
8515110104                         ,01,24/3/2026,199900010658,75
8515110104                         ,01,24/3/2026,199900010663,75
8515110104                         ,98,24/4/2026,199900012509,20
8515110104                         ,98,8/2/2026,199900008437,48
8515120104                         ,01,24/3/2026,199900010665,75
8515120104                         ,01,24/3/2026,199900010670,75
8515120104                         ,01,24/3/2026,199900010673,75
8515120104                         ,01,24/3/2026,199900010672,75
8515120104                         ,01,24/3/2026,199900010669,75
8515120104                         ,01,24/3/2026,199900010668,75
8515120104                         ,01,24/3/2026,199900010671,75
8515120104                         ,01,24/3/2026,199900010666,75
8515120104                         ,01,24/3/2026,199900010667,75
8515120104                         ,01,24/3/2026,199900010664,75
8515120104                         ,98,8/2/2026,199900008438,69
8515120104                         ,98,24/4/2026,199900012511,18
8515210204                         ,01,15/1/2026,199900006077,70
8515210204                         ,01,8/1/2026,199900005515,70
8515210204                         ,01,8/2/2026,199900008458,10
8515210204                         ,01,29/1/2026,199900007546,70
8515210204                         ,01,29/3/2026,199900011135,70
8515210204                         ,01,29/1/2026,199900007548,70
8515210204                         ,01,29/3/2026,199900011133,70
8515210204                         ,01,15/1/2026,199900006078,39
8515210204                         ,01,29/3/2026,199900011132,70
8515210204                         ,01,8/2/2026,199900008413,60
8515210204                         ,01,29/3/2026,199900011138,21
8515210204                         ,01,13/5/2026,199900013034,70
8515210204                         ,01,26/3/2026,199900010888,10
8515210204                         ,01,29/3/2026,199900011134,70
8515210204                         ,01,14/1/2026,199900005545,70
8515210204                         ,60,22/4/2026,199900012443,30
8515210204                         ,60,13/5/2026,199900013031,70
8515210204                         ,60,16/4/2026,199900011926,70
8515210204                         ,60,6/3/2026,199900009257,70
8515210204                         ,60,18/4/2026,199900011922,70
8515210204                         ,60,18/4/2026,199900011906,70
8515210204                         ,60,18/4/2026,199900011923,70
8515210204                         ,60,18/4/2026,199900011919,70
8515210204                         ,60,21/4/2026,199900011913,70
8515210204                         ,60,16/4/2026,199900011928,70
8515210204                         ,60,21/4/2026,199900012232,60
8515210204                         ,60,13/5/2026,199900013032,70
8515210204                         ,60,16/4/2026,199900011930,70
8515210204                         ,60,6/3/2026,199900009259,70
8515210204                         ,60,13/5/2026,199900013033,70
8515210204                         ,60,16/4/2026,199900011924,70
8515210204                         ,60,21/4/2026,199900011918,70
8515210204                         ,60,4/3/2026,199900009241,70
8515210204                         ,60,21/4/2026,199900011912,70
8515210204                         ,60,21/4/2026,199900011916,70
8515210204                         ,60,18/4/2026,199900011907,70
8515210204                         ,60,21/4/2026,199900011914,70
8515210204                         ,60,6/3/2026,199900009256,70
8515210204                         ,60,16/4/2026,199900011927,70
8515210204                         ,60,9/5/2026,199900012974,10
8515210204                         ,60,16/4/2026,199900011925,70
8515210204                         ,60,21/4/2026,199900011915,70
8515210204                         ,60,16/4/2026,199900011932,70
8515210204                         ,60,18/4/2026,199900011908,70
8515210204                         ,60,16/4/2026,199900011931,70
8515210204                         ,60,9/5/2026,199900012975,40
8515210204                         ,60,6/3/2026,199900009258,70
8515210204                         ,60,18/4/2026,199900011920,70
8515210204                         ,60,18/4/2026,199900011921,70
8515210204                         ,60,16/4/2026,199900011929,70
8515210204                         ,60,21/4/2026,199900011917,70
8515210204                         ,60,16/4/2026,199900011933,70
8515210204                         ,62,10/6/2026,199900014952,70
8515210204                         ,62,10/6/2026,199900014953,70
8515210204                         ,62,10/6/2026,199900014951,70
8515210204                         ,62,9/6/2026,199900014862,70
8515210204                         ,62,9/6/2026,199900014861,70
8515210204                         ,62,10/6/2026,199900014950,70
8515210204                         ,62,10/6/2026,199900014954,70
8515210204                         ,62,10/6/2026,199900014947,70
8515210204                         ,62,10/6/2026,199900014949,70
8515210204                         ,62,10/6/2026,199900014948,70
8515210204                         ,62,9/6/2026,199900014863,70
8515210204                         ,62,9/6/2026,199900014859,70
